Name,Version,LatestVersion,License,Website,ComponentType,Labels,Files,Vulnerabilities
archetype-registry,2.4,,"{""Name"":""Apache"",""URL"":""https://www.apache.org/licenses/"",""Type"":""permissive""}",,Unknown,[],"[{""Timestamp"":1439162080000,""File"":""6a5a4babd4714d87dcab1fad430d7bc1e54e463b.jar""}]",[]
jetty-maven-plugin,9.3.3.v20150827,,"{""Name"":""Apache"",""URL"":""https://www.apache.org/licenses/"",""Type"":""permissive""}",,Unknown,[],"[{""Timestamp"":1440671768000,""File"":""b72fdf33d1d85fef96497fee30d8aab46b270460.jar""}]",[]
standard,1.1.2,,"{""Name"":""unknown"",""URL"":"""",""Type"":""unknown""}",,Unknown,[],"[{""Timestamp"":1098711086000,""File"":""a17e8a4d9a1f7fcc5eed606721c9ed6b7f18acf7.jar""}]","[{""CVE"":""CVE-2012-3001"",""Date"":1350924900000,""CVSS"":""8.5"",""Type"":""Exact Match""}]"
jetty-io,8.1.15.v20140411,,"{""Name"":""Apache"",""URL"":""https://www.apache.org/licenses/"",""Type"":""permissive""}","http://www.eclipse.org/jetty",Unknown,[],"[{""Timestamp"":1427979570000,""File"":""b58cccb7c875480eaafdde54a68c46d6c46c905b.jar""}]",[]
h2,1.4.190,,"{""Name"":""MPL"",""URL"":""https://www.mozilla.org/en-US/MPL/"",""Type"":""lgpl""}",https://h2database.com,Unknown,[],"[{""Timestamp"":1444575270000,""File"":""df71536d44e3b07f0c15bb632cac51956c55fc3e.jar""}]",[]
"maven-scm-provider-cvs-commons",1.7,,"{""Name"":""Apache"",""URL"":""https://www.apache.org/licenses/"",""Type"":""permissive""}",,Unknown,[],"[{""Timestamp"":1335453940000,""File"":""1a7a7ece430c30a2a377c3b4fa239097accc6b47.jar""}]",[]
archetype-descriptor,2.4,,"{""Name"":""Apache"",""URL"":""https://www.apache.org/licenses/"",""Type"":""permissive""}",,Unknown,[],"[{""Timestamp"":1439162080000,""File"":""04d298c7648cd834abc40b5d88980a3de3e8ae8b.jar""}]",[]
spring-jdbc,4.1.4,,"{""Name"":""Apache"",""URL"":""https://www.apache.org/licenses/"",""Type"":""permissive""}","https://spring.io/projects/spring-framework",Unknown,[],"[{""Timestamp"":1419906930000,""File"":""d54f4a5f3e37cd505afbf731b06b9a1c4b564ec1.jar""}]",[]
jetty-quickstart,9.3.3.v20150827,,"{""Name"":""Apache"",""URL"":""https://www.apache.org/licenses/"",""Type"":""permissive""}",,Unknown,[],"[{""Timestamp"":1440671768000,""File"":""c7236d7bbd93b424e32f6f8f2e65bcfb99f7345e.jar""}]",[]
jersey,2.6,,"{""Name"":""CDDL+GPL"",""URL"":""https://glassfish.java.net/public/CDDL+GPL.html"",""Type"":""lgpl""}",,java,"[""framework"",""rest""]","[{""Timestamp"":1427979570000,""File"":""b58cccb7c875480eaafdde54a68c46d6c46c905b.jar""}]",[]
